

Reaction test

type	A+B+C

number	1000



max value	65536

unit	us



test	A	B	C
909	236	227	217

910	349	358	340

911	329	337	319

912	807	816	798

913	327	336	318

914	636	645	627

915	677	686	668

916	943	952	934

917	142	151	132

918	331	340	321

919	157	166	148

920	289	298	279

921	45	54	36

922	284	293	274

923	673	683	608

924	61	71	1020

925	552	606	481

926	940	1012	869

927	940	1011	869

928	378	449	307

929	633	704	561

930	839	968	830

931	937	1008	927

932	16	87	1019

933	522	652	512

934	647	793	638

935	90	226	81

936	1053	121	1043

937	402	511	392

938	517	650	507

939	974	50	964

940	857	974	847

941	286	407	276

942	959	27	949

943	17	160	7

944	326	488	317

945	955	85	946

946	642	819	632

947	197	364	188

948	623	783	614

949	1029	127	1020

950	666	789	656

951	195	316	186

952	256	399	246

953	264	428	254

954	547	706	537

955	516	637	507

956	944	11	935

957	410	553	401

958	819	981	810

959	93	249	84

960	941	9	931

961	892	1039	883

962	865	1030	855

963	540	697	530

964	397	549	388

965	944	62	934

966	282	445	273

967	144	293	134

968	854
